name,county
ריינה ,נצרת 
רכסים ,חיפה 
רשפים ,עפולה 
רתמים ,באר שבע 
רבדים ,אשקלון 
רבבה ,שכם 
רביבים ,באר שבע 
רווחה ,אשקלון 
רוויה ,עפולה 
רימונים ,ראמאללה 
רינתיה ,פתח תקווה 
ראשון לציון ,רחובות 
רשפון ,השרון 
רועי ,ירדן )יריחו( 
ראש העין ,פתח תקווה 
ראש פינה ,צפת 
ראש צורים ,בית לחם 
רותם ,ירדן )יריחו( 
רוח מדבר ,באר שבע 
רוחמה ,אשקלון 
רומת הייב ,נצרת 
רומאנה ,נצרת 
סעד ,באר שבע 
סער ,עכו 
סעוה ,באר שבע 
סאג'ור ,עכו 
סח'נין ,עכו 
סלעית ,טול כרם 
סלמה ,עכו 
סמר ,באר שבע 
צנדלה ,עפולה 
ספיר ,באר שבע 
שריד ,עפולה 
סאסא ,צפת 
סביון ,פתח תקווה 
סואעד (כמאנה) (שבט) ,עכו 
סואעד (חמרייה) ,עכו 
סייד (שבט) ,באר שבע 
שדי אברהם ,באר שבע 
שדה בוקר ,באר שבע 
שדה דוד ,אשקלון 
שדה אליעזר ,צפת 
שדה אליהו ,עפולה 
שדי חמד ,פתח תקווה 
שדה אילן ,כנרת 
שדה משה ,אשקלון 
שדה נחום ,עפולה 
שדה נחמיה ,צפת 
שדה ניצן ,באר שבע 
שדי תרומות ,עפולה 
שדה עוזיהו ,אשקלון 
שדה ורבורג ,פתח תקווה 
שדה יעקב ,עפולה 
שדה יצחק ,חדרה 
שדה יואב ,אשקלון 
שדה צבי ,באר שבע 
שדרות ,אשקלון 
שדות מיכה ,ירושלים 
שדות ים ,חדרה 
שגב-שלום ,באר שבע 
סגולה ,אשקלון 
שניר ,צפת 
שעב ,עכו 
שעל ,גולן 
שעלבים ,רמלה 
שער אפרים ,השרון 
שער העמקים ,חיפה 
שער הגולן ,כנרת 
שער מנשה ,חדרה 
שערי תקווה ,טול כרם 
שדמות דבורה ,כנרת 
שדמות מחולה ,ירדן )יריחו( 
שפיר ,אשקלון 
שחר ,אשקלון 
שחרות ,באר שבע 
שלווה במדבר ,באר שבע 
שלווה ,אשקלון 
שמרת ,עכו 
שמיר ,צפת 
שני ,באר שבע 
שקד ,ג'נין 
שרונה ,כנרת 
שרשרת ,באר שבע 
שבי דרום ,באר שבע 
שבי שומרון ,שכם 
שבי ציון ,עכו 
שאר ישוב ,צפת 
שדמה ,רחובות 
שפרעם ,עכו 
שפיים ,השרון 
שפר ,צפת 
שייח' דנון ,עכו 
שכניה ,עכו 
שלומי ,עכו 
שלוחות ,עפולה 
שקף ,אשקלון 
שתולה ,עכו 
שתולים ,אשקלון 
שיזף ,באר שבע 
שזור ,עכו 
שיבולים ,באר שבע 
שבלי - אום אל-גנם ,עפולה 
שילת ,רמלה 
שילה ,ראמאללה 
שמעה ,חברון 
שמשית ,עפולה 
נאות סמדר ,באר שבע 
שלומית ,באר שבע 
שואבה ,ירושלים 
שוהם ,רמלה 
שומרה ,עכו 
שומריה ,באר שבע 
שוקדה ,באר שבע 
שורשים ,עכו 
שורש ,ירושלים 
שושנת העמקים ,השרון 
צוקי ים ,השרון 
שובל ,באר שבע 
שובה ,באר שבע 
סתריה ,רמלה 
סופה ,באר שבע 
סולם ,עפולה 
סוסיה ,חברון 
תעוז ,ירושלים 
טל שחר ,ירושלים 
טל-אל ,עכו 
"תלמי ביל""ו ",באר שבע 
תלמי אלעזר ,חדרה 
תלמי אליהו ,באר שבע 
תלמי יפה ,אשקלון 
תלמי יחיאל ,אשקלון 
תלמי יוסף ,באר שבע 
טלמון ,ראמאללה 
טמרה ,עכו 
טמרה (יזרעאל) ,עפולה 
תראבין א-צאנע (שבט) ,באר שבע 
תראבין א-צאנע(ישוב) ,באר שבע 
תרום ,ירושלים 
טייבה ,השרון 
טייבה (בעמק) ,עפולה 
תאשור ,באר שבע 
טפחות ,כנרת 
תל עדשים ,עפולה 
תל אביב - יפו ,תל אביב 
תל מונד ,השרון 
תל קציר ,כנרת 
תל שבע ,באר שבע 
תל תאומים ,עפולה 
תל יצחק ,השרון 
תל יוסף ,עפולה 
טללים ,באר שבע 
תלמים ,אשקלון 
תלם ,חברון 
טנא ,חברון 
תנובות ,השרון 
תקוע ,בית לחם 
תקומה ,באר שבע 
טבריה ,כנרת 
תדהר ,באר שבע 
תפרח ,באר שבע 
תימורים ,אשקלון 
תמרת ,עפולה 
טירת כרמל ,חיפה 
טירת יהודה ,פתח תקווה 
טירת צבי ,עפולה 
טירה ,השרון 
תירוש ,ירושלים 
תומר ,ירדן )יריחו( 
טובא-זנגריה ,צפת 
טורעאן ,נצרת 
תושיה ,באר שבע 
תובל ,עכו 
אודים ,השרון 
אום אל-פחם ,חדרה 
אום אל-קוטוף ,חדרה 
אום בטין ,באר שבע 
עוקבי (בנו עוקבה) ,באר שבע 
אורים ,באר שבע 
אושה ,חיפה 
עוזה ,אשקלון 
עוזייר ,נצרת 
ורדון ,אשקלון 
ורד יריחו ,ירדן )יריחו( 
יעד ,עכו 
יערה ,עכו 
יעל ,עפולה 
יד בנימין ,רחובות 
יד חנה ,השרון 
יד השמונה ,ירושלים 
יד מרדכי ,אשקלון 
יד נתן ,אשקלון 
"יד רמב""ם ",רמלה 
יפיע ,נצרת 
יפית ,ירדן )יריחו( 
יגל ,רמלה 
יגור ,חיפה 
יהל ,באר שבע 
יכיני ,אשקלון 
יאנוח-ג'ת ,עכו 
ינוב ,השרון 
יקיר ,טול כרם 
יקום ,השרון 
ירדנה ,עפולה 
ירחיב ,פתח תקווה 
ירקונה ,פתח תקווה 
יסעור ,עכו 
ישרש ,רמלה 
יתד ,באר שבע 
יבנה ,רחובות 
יבנאל ,כנרת 
יציץ ,רמלה 
יעף ,השרון 
ידידה ,ירושלים 
כפר ידידיה ,השרון 
יחיעם ,עכו 
יהוד-מונוסון ,פתח תקווה 
ירוחם ,באר שבע 
ישע ,באר שבע 
יסודות ,רחובות 
יסוד המעלה ,צפת 
יבול ,באר שבע 
יפעת ,עפולה 
יפתח ,צפת 
ינון ,אשקלון 
יראון ,צפת 
ירכא ,עכו 
ישעי ,ירושלים 
"ייט""ב ",ירדן )יריחו( 
יצהר ,שכם 
יזרעאל ,עפולה 
יודפת ,עכו 
יונתן ,גולן 
יקנעם עילית ,עפולה 
יקנעם (מושבה) ,עפולה 
יושיביה ,באר שבע 
יטבתה ,באר שבע 
יובל ,צפת 
יובלים ,עכו 
זבארגה (שבט) ,באר שבע 
צפרירים ,ירושלים 
צפריה ,רמלה 
זנוח ,ירושלים 
זרזיר ,עפולה 
זבדיאל ,אשקלון 
צאלים ,באר שבע 
צפת ,צפת 
זכריה ,ירושלים 
צלפון ,ירושלים 
זמר ,השרון 
זרחיה ,אשקלון 
זרועה ,באר שבע 
צרופה ,חדרה 
זיתן ,רמלה 
זכרון יעקב ,חדרה 
זמרת ,באר שבע 
ציפורי ,עפולה 
זיקים ,אשקלון 
צבעון ,צפת 
צופר ,באר שבע 
צופית ,פתח תקווה 
צופיה ,רחובות 
צוחר ,באר שבע 
זוהר ,אשקלון 
צרעה ,ירושלים 
צובה ,ירושלים 
צופים ,טול כרם 
צור הדסה ,ירושלים 
צור משה ,השרון 
צור נתן ,פתח תקווה 
צור יצחק ,פתח תקווה 
צוריאל ,עכו 
צורית ,עכו 
צביה ,עכו 
